country,air_quality_Carbon_Monoxide,air_quality_Nitrogen_dioxide,air_quality_Ozone,air_quality_PM10,air_quality_PM2.5,air_quality_Sulphur_dioxide,air_quality_gb-defra-index,air_quality_us-epa-index
Montenegro,270.3672972972973,7.885405405405405,68.27567567567567,16.01981081081081,12.889054054054053,1.291081081081081,1.545945945945946,1.281081081081081
Morocco,222.96432432432434,6.7649189189189185,70.05405405405405,33.601594594594594,18.957,7.505513513513513,2.075675675675676,1.6108108108108108
Mozambique,286.8137837837838,4.700675675675676,57.25945945945946,17.463135135135133,15.396162162162161,3.7216216216216216,1.7567567567567568,1.4162162162162162
Myanmar,482.7956756756757,6.690081081081081,63.2,26.032162162162162,21.593432432432433,5.8550270270270275,2.4108108108108106,1.7297297297297298
Namibia,242.6291891891892,1.6114864864864864,71.70810811,8.089972972972973,7.555567567567567,1.0056486486486487,1.2054054054054053,1.1135135135135135
Nepal,818.7724324324324,7.04927027,122.25945945945946,43.61975675675676,30.980621621621623,7.617432432432432,3.4702702702702704,2.145945945945946
Netherlands,353.44081081081083,59.99167567567568,36.62162162162162,24.784810810810807,16.894945945945945,4.425081081081081,1.962162162162162,1.4378378378378378
New Zealand,149.88054054054055,3.622324324324324,54.32972972972973,9.997432432432433,7.202567567567567,1.7362162162162162,1.1081081081081081,1.037837837837838
Nicaragua,366.3423913043478,3.8747826086956523,53.608695652173914,14.156358695652173,10.668777173913044,8.545923913,1.3478260869565217,1.1630434782608696
Niger,321.7689189189189,3.635189189189189,55.25405405405405,90.87056756756756,24.330135135135134,0.7054054054054054,2.789189189189189,1.8054054054054054
Nigeria,604.4791891891891,13.832621621621621,54.70810810810811,41.84037837837838,31.599621621621623,1.7052702702702704,3.427027027027027,2.1621621621621623
North Korea,501.94081081081083,12.61545945945946,67.75135135135135,42.64805405405406,36.00272972972973,10.820702702702702,4.075675675675676,2.2324324324324323
Norway,384.6075675675675,21.20108108108108,50.13513513513514,13.225162162162164,9.266189189,1.6867567567567567,1.2648648648648648,1.135135135135135
Oman,275.4951351351351,25.58016216216216,66.19459459459459,136.20345945945945,44.72945945945946,29.100459459459458,5.064864864864865,2.637837837837838
Pakistan,1011.9608108108108,47.08770270270271,92.96756756756757,98.52070270270269,58.53754054054054,17.243243243243242,6.540540541,3.0702702702702704
Panama,745.1741847826087,10.440407608695653,50.78260869565217,7.808614130434783,6.524918478,4.036059782608696,1.059782608695652,1.0217391304347827
Papua New Guinea,210.76702702702704,2.19,39.043243243243246,10.707621621621621,8.338216216216216,0.5741891891891892,1.0972972972972972,1.0216216216216216
Paraguay,244.4767027027027,2.111118918918919,58.972972972972975,9.969702702702703,9.763978378,0.6574108108108108,1.3675675675675676,1.172972972972973
Peru,634.4027173913043,21.813722826086956,51.375,34.36739130434783,23.164592391304346,5.596630434782608,2.4510869565217392,1.8478260869565217
Philippines,787.4843243243243,24.56202702702703,56.29189189189189,34.21740540540541,31.93627027027027,36.01640540540541,3.572972972972973,2.210810810810811
Poland,301.43783783783783,17.69162162162162,55.648648648648646,21.86127027027027,16.879945945945945,8.082108108108109,1.945945945945946,1.5027027027027027
Portugal,260.5051351351351,28.885891891891895,49.69189189189189,33.60572972972973,20.968891891891893,3.8303513513513514,2.372972972972973,1.6702702702702703
Qatar,506.3691891891892,48.412594594594594,101.46486486486486,220.3645945945946,76.5377027,25.376621621621624,8.324324324324325,3.545945945945946
Romania,309.8864864864865,18.92691891891892,53.49189189189189,20.23745945945946,15.274432432432432,5.035243243243243,1.772972972972973,1.454054054054054
Russia,660.3772972972973,66.94491891891892,30.36756756756757,56.944945945945946,45.54918918918919,76.6707027,4.918918918918919,2.6486486486486487
Rwanda,664.6678378378379,6.616810810810811,67.35675675675675,41.95662162162162,40.42675675675675,2.8007027027027025,4.702702702702703,2.454054054054054
Saudi Arabia,502.4059459,58.57840541,68.15675675675676,1433.6627837837837,164.72483783783784,69.08032432432432,9.437837837837838,4.486486486486487
Senegal,253.52324324324326,2.5316486486486487,63.31891891891892,114.83037837837837,32.71245945945946,3.298135135135135,3.616216216216216,2.1405405405405404
Serbia,317.2956756756757,9.894027027027027,63.87567567567567,22.725189189189187,17.499324324324323,5.723594594594594,1.9675675675675677,1.5621621621621622
Sierra Leone,283.1182065217391,1.990733695652174,48.58152173913044,19.582201086956523,11.89983695652174,1.1036956521739132,1.4728260869565217,1.2826086956521738
Slovakia,272.9345945945946,15.941972972972973,57.962162162162166,15.098,12.080081081081081,5.212891891891892,1.4594594594594594,1.2054054054054053
Slovenia,275.4416216216216,15.812513513513514,55.983783783783785,22.16018918918919,17.676675675675675,1.1816486486486486,1.9783783783783784,1.6054054054054054
Solomon Islands,147.7402702702703,0.936972973,29.17297297297297,4.35,3.277027027027027,0.6936486486486486,1.0216216216216216,1.0054054054054054
Somalia,176.12432432432433,0.5898108108108109,52.19459459,18.095594594594594,11.89589189189189,0.6798378378378378,1.4972972972972973,1.1567567567567567
South Africa,1170.0864864864866,42.4282973,60.86486486486486,70.976,69.9887027,61.7522973,6.027027027027027,2.972972972972973
